이름,발(아이콘),평점(아이콘),발(모먼트),평점(모먼트),약발 상향여부,평점 변화
펠레,10,8.6,10,6.8,0,-1.7999999999999998
지네딘 지단,10,9.2,10,8.5,0,-0.6999999999999993
호나우두,10,8.2,10,6.4,0,-1.799999999999999
요한 크루이프,10,8.5,10,8.2,0,-0.3000000000000007
게르트 뮐러,10,8.6,10,8.7,0,0.09999999999999964
로타어 마테우스,10,9.2,10,9.4,0,0.20000000000000107
마르코 반바스텐,9,8.6,10,8.1,1,-0.5
페렌츠 푸스카스,8,8.4,9,8.4,1,0.0
파올로 말디니,9,8.8,10,8.8,1,0.0
로베르토 바조,10,8.2,10,9.2,0,1.0
잔루이지 부폰,7,10.0,7,7.5,0,-2.5
차비,9,8.9,9,9.0,0,0.09999999999999964
호나우지뉴,9,9.1,9,9.7,0,0.5999999999999996
지쿠,10,8.8,10,9.0,0,0.1999999999999993
루드 굴리트,10,8.7,10,8.6,0,-0.09999999999999964
조지 베스트,9,8.8,10,9.2,1,0.3999999999999986
보비 찰턴,10,9.3,10,9.2,0,-0.10000000000000142
에우제비우,10,8.7,10,8.7,0,0.0
가린샤,9,8.2,9,8.6,0,0.40000000000000036
자이르지뉴,9,8.9,9,8.9,0,0.0
앨런 시어러,9,8.7,9,8.7,0,0.0
데이비드 베컴,9,8.3,9,9.2,0,0.8999999999999986
호베르투 카를루스,7,9.7,8,9.4,1,-0.29999999999999893
알레산드로 네스타,8,9.1,8,8.1,0,-1.0
티에리 앙리,9,8.1,10,8.8,1,0.7000000000000011
카푸,9,9.4,9,7.4,0,-2.0
카시야스,8,8.9,8,8.7,0,-0.20000000000000107
루이스 피구,9,8.5,10,10.0,1,1.5
안드레아 피를로,9,9.2,10,9.6,1,0.40000000000000036
사뮈엘 에토,9,8.6,10,9.1,1,0.5
안드리 셰우첸코,10,8.4,10,8.2,0,-0.20000000000000107
디디에 드로그바,9,8.7,10,8.9,1,0.20000000000000107
웨인 루니,9,9.2,10,9.4,1,0.20000000000000107
카카,9,9.1,10,9.2,1,0.09999999999999964
우고 산체스,9,8.3,10,9.0,1,0.6999999999999993
에릭 칸토나,9,8.6,10,9.5,1,0.9000000000000004
프랑크 레이카르트,9,9.2,9,8.2,0,-1.0
델피에로,10,9.2,10,9.9,0,0.7000000000000011
파비오 칸나바로,8,7.9,8,10.0,0,2.0999999999999996
파트리크 비에이라,8,9.0,9,10.0,1,1.0
릴리앙 튀람,9,9.8,10,9.2,1,-0.6000000000000014
데니스 베르캄프,9,8.6,10,9.2,1,0.5999999999999996
히바우두,7,9.0,8,9.2,1,0.1999999999999993
마이클 오언,9,9.1,9,7.8,0,-1.2999999999999998
파벨 네드베드,10,9.5,10,9.2,0,-0.3000000000000007
로빈 반페르시,9,9.0,10,9.1,1,0.09999999999999964
뤼트 반니스텔로이,9,8.2,9,8.7,0,0.5
미로슬라프 클로제,9,8.9,9,8.6,0,-0.3000000000000007
카를레스 푸욜,8,9.0,8,7.4,0,-1.5999999999999996
샤비 알론소,9,8.3,9,6.9,0,-1.4000000000000004
라울,9,9.1,9,8.3,0,-0.7999999999999989
필립 람,10,10.0,10,7.5,0,-2.5
카를루스 아우베르투,9,9.3,9,8.9,0,-0.40000000000000036
차범근,10,8.9,10,8.5,0,-0.40000000000000036
케니 달글리시,10,8.8,10,8.2,0,-0.6000000000000014
로이 킨,8,9.3,8,8.2,0,-1.1000000000000014
폴 스콜스,8,9.2,9,6.7,1,-2.499999999999999
하비에르 사네티,9,9.0,9,8.2,0,-0.8000000000000007
클라렌스 세이도르프,9,8.5,9,9.3,0,0.8000000000000007
클로드 마켈렐레,8,9.8,8,8.4,0,-1.4000000000000004
미하엘 발락,9,8.1,10,9.3,1,1.200000000000001
H. 스토이치코프,8,9.8,9,9.5,1,-0.3000000000000007
프랭크 램파드,9,9.2,10,9.0,1,-0.1999999999999993
리오 퍼디난드,8,9.4,8,8.9,0,-0.5
에르난 크레스포,9,8.6,10,7.2,1,-1.3999999999999995
스티븐 제라드,9,8.6,10,9.5,1,0.9000000000000004
야야 투레,9,8.6,10,7.9,1,-0.6999999999999993
박지성,10,8.6,10,9.7,0,1.0999999999999996
페트르 체흐,8,8.1,8,7.5,0,-0.5999999999999996
페르난도 토레스,9,9.0,10,9.1,1,0.09999999999999964
B. 슈바인슈타이거,8,9.0,9,8.8,1,-0.1999999999999993
프랑크 리베리,10,8.6,10,10.0,0,1.4000000000000004
페르난도 이에로,8,7.8,8,8.2,0,0.39999999999999947
게오르게 하지,9,9.2,10,10.0,1,0.8000000000000007
로날트 쿠만,8,10.0,8,9.5,0,-0.5
가레스 베일,8,8.5,8,9.0,0,0.5
페터 슈마이켈,8,8.2,8,7.2,0,-0.9999999999999991
부트라게뇨,10,9.2,10,9.8,0,0.6000000000000014
게리 리네커,9,9.1,10,9.5,1,0.40000000000000036
로랑 블랑,8,8.4,8,10.0,0,1.5999999999999996
이언 러시,9,8.2,10,8.9,1,0.7000000000000011
후이 코스타,9,8.9,9,7.0,0,-1.9000000000000004
마르셀 드사이,8,8.5,8,7.7,0,-0.7999999999999998
에마뉘엘 프티,8,8.9,8,8.3,0,-0.5999999999999996
P. 클라위베르트,10,9.0,10,7.2,0,-1.7999999999999998
다비드 트레제게,9,6.5,10,8.4,1,1.9000000000000004
마이클 에시앙,9,8.9,9,8.5,0,-0.40000000000000036
에드윈 반데르사르,8,7.4,8,7.8,0,0.39999999999999947
헨릭 라르손,9,9.6,10,9.7,1,0.09999999999999964
네마냐 비디치,8,7.3,8,8.5,0,1.2000000000000002
소크라테스,10,9.1,10,8.8,0,-0.29999999999999893
미카엘 라우드루프,10,9.0,10,9.1,0,0.09999999999999964
이언 라이트,9,9.2,10,8.7,1,-0.5
솔 캠벨,8,9.0,9,8.2,1,-0.8000000000000007
잔프랑코 졸라,10,9.0,10,8.2,0,-0.8000000000000007
로베르 피레스,9,9.0,9,7.9,0,-1.0999999999999996
야리 리트마넨,9,9.0,10,8.7,1,-0.3000000000000007
애슐리 콜,8,9.7,8,9.5,0,-0.1999999999999993
파울루 푸트리,10,8.3,10,9.4,0,1.0999999999999996
제이-제이 오코차,9,9.3,9,9.3,0,0.0
프레디 융베리,9,7.8,10,8.2,1,0.39999999999999947
루이스 에르난데스,8,7.6,8,6.7,0,-0.8999999999999995
다보르 슈케르,10,8.7,10,8.7,0,0.0
올레 군나르 솔샤르,9,9.4,10,9.8,1,0.40000000000000036
존 반스,9,8.7,10,6.4,1,-2.299999999999999
